Year,Class_Code,Class,Pixels,Area_km2,Percent
2023,1,Built-up,366863,330.1767,10.252085904880447
2023,2,Vegetation,3202114,2881.9026,89.48394306654076
2023,3,Water,4666,4.1994,0.1303926338501625
2023,4,Bare soil,4780,4.302,0.13357839472862768
